trace,status,time_s,peak_rss_mb,output_xlsx
tests/traces/h100/Falconsai_nsfw_image_detection__1016002.json.gz,ok,1.0,100.4,/home/ubuntu/memory_opt/h100_Falconsai_nsfw_image_detection__1016002_perf_report.xlsx
tests/traces/h100/Qwen_Qwen1.5-0.5B-Chat__1016005.json.gz,ok,1.51,144.8,/home/ubuntu/memory_opt/h100_Qwen_Qwen1.5-0.5B-Chat__1016005_perf_report.xlsx
tests/traces/h100/Wan-AI_Wan2.1-T2V-1.3B-Diffusers__1016009.json.gz,ok,72.69,8294.5,/home/ubuntu/memory_opt/h100_Wan-AI_Wan2.1-T2V-1.3B-Diffusers__1016009_perf_report.xlsx
tests/traces/h100/facebook_timesformer-base-finetuned-k400__1016002.json.gz,ok,1.91,248.8,/home/ubuntu/memory_opt/h100_facebook_timesformer-base-finetuned-k400__1016002_perf_report.xlsx
tests/traces/h100/gaunernst_bert-small-uncased__1016001.json.gz,ok,0.9,90.4,/home/ubuntu/memory_opt/h100_gaunernst_bert-small-uncased__1016001_perf_report.xlsx
tests/traces/h100/google_owlv2-large-patch14-ensemble__1016001.json.gz,ok,5.52,620.3,/home/ubuntu/memory_opt/h100_google_owlv2-large-patch14-ensemble__1016001_perf_report.xlsx
tests/traces/mi300/Falconsai_nsfw_image_detection__1016002.json.gz,ok,1.0,101.5,/home/ubuntu/memory_opt/mi300_Falconsai_nsfw_image_detection__1016002_perf_report.xlsx
tests/traces/mi300/Qwen_Qwen1.5-0.5B-Chat__1016005.json.gz,ok,1.5,155.7,/home/ubuntu/memory_opt/mi300_Qwen_Qwen1.5-0.5B-Chat__1016005_perf_report.xlsx
tests/traces/mi300/Wan-AI_Wan2.1-T2V-1.3B-Diffusers__1016009.json.gz,error(1),21.06,3892.2,
tests/traces/mi300/facebook_timesformer-base-finetuned-k400__1016002.json.gz,ok,1.91,275.6,/home/ubuntu/memory_opt/mi300_facebook_timesformer-base-finetuned-k400__1016002_perf_report.xlsx
tests/traces/mi300/gaunernst_bert-small-uncased__1016001.json.gz,ok,0.9,90.7,/home/ubuntu/memory_opt/mi300_gaunernst_bert-small-uncased__1016001_perf_report.xlsx
tests/traces/mi300/google_owlv2-large-patch14-ensemble__1016001.json.gz,ok,5.61,632.4,/home/ubuntu/memory_opt/mi300_google_owlv2-large-patch14-ensemble__1016001_perf_report.xlsx
tests/traces/mi300/resnet_act_checkpoint.json.gz,ok,2.81,296.9,/home/ubuntu/memory_opt/mi300_resnet_act_checkpoint_perf_report.xlsx
tests/traces/mi300/llama_70b_fsdp/rank0_trace_no_pyfn.json.gz,ok,10.13,1008.2,/home/ubuntu/memory_opt/mi300_llama_70b_fsdp_rank0_trace_no_pyfn_perf_report.xlsx
tests/traces/mi300/llama_70b_fsdp/rank1_trace_no_pyfn.json.gz,ok,10.13,991.2,/home/ubuntu/memory_opt/mi300_llama_70b_fsdp_rank1_trace_no_pyfn_perf_report.xlsx
tests/traces/mi300/llama_70b_fsdp/rank2_trace_no_pyfn.json.gz,ok,10.13,984.0,/home/ubuntu/memory_opt/mi300_llama_70b_fsdp_rank2_trace_no_pyfn_perf_report.xlsx
tests/traces/mi300/llama_70b_fsdp/rank3_trace_no_pyfn.json.gz,ok,10.23,997.0,/home/ubuntu/memory_opt/mi300_llama_70b_fsdp_rank3_trace_no_pyfn_perf_report.xlsx
tests/traces/mi300/llama_70b_fsdp/rank4_trace_no_pyfn.json.gz,ok,10.13,1022.4,/home/ubuntu/memory_opt/mi300_llama_70b_fsdp_rank4_trace_no_pyfn_perf_report.xlsx
tests/traces/mi300/llama_70b_fsdp/rank5_trace_no_pyfn.json.gz,ok,10.12,989.4,/home/ubuntu/memory_opt/mi300_llama_70b_fsdp_rank5_trace_no_pyfn_perf_report.xlsx
tests/traces/mi300/llama_70b_fsdp/rank6_trace_no_pyfn.json.gz,ok,10.23,993.0,/home/ubuntu/memory_opt/mi300_llama_70b_fsdp_rank6_trace_no_pyfn_perf_report.xlsx
tests/traces/mi300/llama_70b_fsdp/rank7_trace_no_pyfn.json.gz,ok,10.33,980.1,/home/ubuntu/memory_opt/mi300_llama_70b_fsdp_rank7_trace_no_pyfn_perf_report.xlsx
